,Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,cases_per_100k,id
59,3/13/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
60,3/13/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2.0,219,377.0,1911.0,38068,2635461,69.23,122.070311,-4.124688793,0.0,0.38,0.0,0.0,0.00%,0.00%,1.0,1.0,0.0038,30
61,3/14/2020,ID-BT,Banten,1,0,0,1,62,2,0,60,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,0.09,5.78,0.0,0.19,3.23%,0.00%,1.0,1.0,0.057800000000000004,3
62,3/14/2020,ID-JK,Dki Jakarta,1,1,1,-1,496,27,81,388,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.09,45.73,0.09,2.49,5.44%,16.33%,,1.0,0.4573,6
63,3/14/2020,IDN,Indonesia,27,1,6,20,96,5,8,83,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.1,0.36,0.0,0.02,5.21%,8.33%,0.77,0.33,0.0036,0
64,3/14/2020,ID-JB,Jawa Barat,0,0,0,0,21,7,18,-4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.0,0.46,0.0,0.15,33.33%,85.71%,0.0,1.0,0.0046,9
65,3/14/2020,ID-KI,Kalimantan Timur,3,0,0,3,6,1,3,2,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,0.84,1.69,0.0,0.28,16.67%,50.00%,,,0.0169,15
66,3/14/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
67,3/14/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2.0,219,377.0,1911.0,38068,2635461,69.23,122.070311,-4.124688793,0.0,0.38,0.0,0.0,0.00%,0.00%,1.0,1.0,0.0038,30
68,3/15/2020,ID-BT,Banten,1,0,0,1,63,2,0,61,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,0.09,5.88,0.0,0.19,3.17%,0.00%,1.0,1.0,0.0588,3
